Z1,Z2,G,m,S1,S2,Z1,Z2,G,m,S1,S2,Z1,Z2,G,m,S1,S2,Z1,Z2,G,m,S1,S2,Error_P
-0.1,0,0,0.1,0,0.2,0.45,0.5,0.75,0.05,0.75,0.95,-0.2,0,0,0.1,0,0.2,0.3,0.5,0.5,0.1,0.5,0.8,0.267
-0.4,0,0,0.1,0,0.4,0.45,0.5,0.75,0.075,0.75,0.95,-0.4,0,0,0.1,0,0.4,0.2,0.5,0.5,0.1,0.5,0.9,0.213
-0.6,0,0,0.1,0,0.6,0.45,0.5,0.75,0.1,0.75,0.95,-0.6,0,0,0.1,0,0.6,0.1,0.5,0.5,0.1,0.5,0.6,0.2167
-0.2,0,0,0.1,0,0.8,0.45,0.5,0.75,0.05,0.75,0.95,-0.2,0,0,0.1,0,0.2,0.1,0.5,0.5,0.1,0.5,0.9,0.367
-0.4,0,0,0.1,0,0.4,0.45,0.5,0.75,0.075,0.75,0.95,-0.4,0,0,0.1,0,0.4,0.2,0.5,0.5,0.1,0.5,0.7,0.313
-0.6,0,0,0.1,0,0.6,0.45,0.5,0.75,0.1,0.75,0.95,-0.6,0,0,0.1,0,0.6,0.1,0.5,0.5,0.1,0.5,0.6,0.25
-0.2,0,0,0.1,0,0.2,0.45,0.5,0.75,0.05,0.75,0.95,-0.2,0,0,0.1,0,0.2,0.1,0.5,0.5,0.1,0.5,0.8,0.3188
-0.4,0,0,0.1,0,0.4,0.45,0.5,0.75,0.075,0.75,0.95,-0.4,0,0,0.1,0,0.4,0.2,0.5,0.5,0.1,0.5,0.6,0.106
-0.8,0,0,0.1,0,0.6,0.45,0.5,0.75,0.1,0.75,0.95,-0.6,0,0,0.1,0,0.6,0.1,0.5,0.5,0.1,0.5,0.6,0.219
-0.2,0,0,0.1,0,0.2,0.45,0.5,0.75,0.05,0.75,0.95,-0.2,0,0,0.1,0,0.2,0.3,0.5,0.5,0.1,0.5,0.9,0.167
-0.4,0,0,0.1,0,0.4,0.45,0.5,0.75,0.075,0.75,0.95,-0.4,0,0,0.1,0,0.4,0.2,0.5,0.5,0.1,0.5,0.7,0.3036
-0.6,0,0,0.1,0,0.6,0.45,0.5,0.75,0.1,0.75,0.95,-0.6,0,0,0.1,0,0.6,0.3,0.5,0.5,0.1,0.5,0.6,0.1095
-0.2,0,0,0.1,0,0.8,0.45,0.5,0.75,0.05,0.75,0.95,-0.9,0,0,0.1,0,0.2,0.1,0.5,0.5,0.1,0.5,0.8,0.183
-0.15,0,0,0.1,0,0.9,0.45,0.5,0.75,0.075,0.75,0.95,-0.4,0,0,0.1,0,0.4,0.2,0.5,0.5,0.1,0.5,0.7,0.167
-0.6,0,0,0.1,0,0.6,0.45,0.5,0.75,0.1,0.75,0.95,-0.6,0,0,0.1,0,0.6,0.1,0.5,0.5,0.1,0.5,0.6,0.267
-0.2,0,0,0.1,0,0.2,0.45,0.5,0.75,0.05,0.75,0.95,-0.2,0,0,0.1,0,0.2,0.1,0.5,0.5,0.1,0.5,0.9,0.13
-0.32,0,0,0.1,0,0.4,0.45,0.5,0.75,0.075,0.75,0.95,-0.4,0,0,0.1,0,0.4,0.2,0.5,0.5,0.1,0.5,0.6,0.18
-0.1,0,0,0.1,0,0.6,0.45,0.5,0.75,0.1,0.75,0.95,-0.6,0,0,0.1,0,0.6,0.1,0.5,0.5,0.1,0.5,0.6,0.12
-0.2,0,0,0.1,0,0.2,0.45,0.5,0.75,0.05,0.75,0.95,-0.9,0,0,0.1,0,0.2,0.1,0.5,0.5,0.1,0.5,0.65,0.19
-0.4,0,0,0.1,0,0.4,0.45,0.5,0.75,0.075,0.75,0.95,-0.4,0,0,0.1,0,0.4,0.2,0.5,0.5,0.1,0.5,0.75,0.11
